,用户名,弹幕,会员等级,发布时间,弹幕点赞数,弹幕id
0,, 这是又提前了吗,0,45,2,6755750515407569261
0,, 晨艺我来了,0,45,2,6755761172517159986
0,,来了,0,46,0,6755764299751766837
0,微笑面对明天,齐子，我来了,0,47,0,6755775274613406711
0,45切三文鱼,第一☝️,0,49,1,6755785574612219246
0,,第一,3,82,1,6755690498011705667
0,π,等着下饭呐，更新开心,3,83,23,6755691047440023368
0,, 晨艺憨憨呀,6,80,7,6755695534913287267
0,, 重庆，唉,0,80,8,6755699064948948137
0,, 终于等到你,5,84,11,6755703359836534618
0,, 张颜齐哈哈哈哈哈,2,83,9,6755707572080279990
0,,机灵鬼鹿晗,0,82,12,6755712679701659390
0,,臭屁鹿5晗,0,84,8,6755712687667614636
0,我爱睡午觉,张颜齐可太喜欢吃火锅了,0,82,7,6755718951482177284
0,废材先生不废材, 晨艺这期好像很惨啊,0,83,20,6755719596403531696
0,丹哥,先谢谢各位哥哥照顾欣欣子啦,0,84,4,6755729856181860061
0,崔崔崔,唉～呀～,0,83,2,6755734542196699201
0,,虞书欣卧来了,0,82,3,6755746538028772953
0,A蜂产品专卖，城秀童装,该死的默契,0,83,6,6755750386457578538
0,,晨艺深夜贴膜惨兮兮,0,80,13,6755750463778862188
0,,欣欣宝贝我来了！,0,83,6,6755753028356340836
0,香香,终于等到你，超哥哈哈哈哈,2,81,14,6755771650655058429
0,静雪,赫哥,0,82,0,6755772395278595689
0,, 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,83,1,6755773923293863814
0,, 晨艺今天还贴膜吗,0,83,1,6755782388926104516
0,, 进度条要学会自己成长,0,80,0,6755782376187995236
0,李文诗锐,王晨艺跳舞好帅,0,81,17,6755784163753213512
0,,四川火锅啊！川菜名菜之首！,0,82,12,6755784336182070717
0,,啊啊啊啊，兰州呀,0,81,10,6755787224191053056
0,,鹿晗,0,80,0,6755801800629221658
0,,来看欣欣子,0,84,8,6755805393039068586
0,,喜欢鹿晗,0,80,1,6755828471030811767
0,,鹿鹿妈妈来看你了,0,82,2,6755854961516979216
0,,少爷！！！,0,80,0,6755854949810676727
0,峰哥, ci火锅,0,80,0,6755857223928751947
0,迷路🦌麋鹿,臭屁鹿5晗，妈妈的小宝贝,0,84,0,6756044689439732437
0,一碗银河,哈哈党 : 晨艺憨憨呀,0,82,4,6756109198817429199
0,ゝ星河。,哈哈哈哈,3,81,1,6756111878784747334
0,风萧, 哈哈哈哈哈,0,84,1,6756153420891226439
0,列缺缺, 张颜齐 哈哈哈,0,81,3,6756165608687510732
0,,鹿鹿，我们来啦,0,81,1,6756234247263157194
0,,七七可爱！！！,0,84,0,6756354563637442665
0,,重庆人为什么不贴膜,0,81,3,6757167131437549754
0,心雨,  哈哈哈,0,84,0,6759268475543726979
0,,第一第一,3,89,12,6755691803624063924
0,京师律师,哈哈党 : 晨艺宝贝好想你,3,86,28,6755693496691621886
0,,来了,6,87,1,6755693519533797408
0,勾起唇角`没心没肺的微笑,虞书欣和雷大头都很搞笑的，估计这期要笑不成样,4,85,70,6755695218491854713
0,,来啦,0,86,0,6755696806581481319
0,ikakashi,哈哈哈哈 张颜齐表情太丰富了！,0,85,26,6755697959956323074
0,ikakashi,张颜齐 哎呀啊哈哈哈哈哈哈,4,88,44,6755698573405516818
0,, 看起来好搞笑,0,87,9,6755706160419108650
0,, 鹿晗,0,85,2,6755715559674018828
0,,现实,0,87,1,6755717472932310195
0,,小虞,0,86,1,6755724193864066120
0,无聊丶,我只是个路过的,0,89,5,6755726559380218260
0,,干饭人鹿晗,0,86,10,6755732192506615207
0,, 晨艺这期好像很惨啊,0,89,7,6755751918480586344
0,⚜ི哼哼ྀ༻,我的快乐又来喽,0,85,4,6755805029296751162
0,, 王晨艺啊,0,87,5,6755817669213226040
0,A自己想.自己悟,这个节目真的不错很好看,0,88,14,6755820893772479009
